X;Y;osm_id;type;name;brand;operator;wheelchair;opening_hours;level;siret;profession_ref;wikidata;website;phone;email;facebook;address;com_insee;com_nom
4.5009449;45.4683534004168;node/8359933124;agrarian;Espace My Jardin - Husqvarna;;Nouvelle Société Picard Frères;;;;;;;https://espace-my-jardin.business.site/;+33 4 77 19 57 06;;;11BIS Route de Saint-Étienne;42207;Saint-Chamond
4.3901324;45.4382279004205;node/2436685077;alcohol;Le Verre Galant;;;;;;;;;;;;;;42218;Saint-Étienne
4.4117618;45.4291406004216;node/2438501974;alcohol;;;;;;;;;;;;;;;42218;Saint-Étienne
4.4366606;45.4366349004207;node/3159176301;alcohol;Caves de la Reyne;;;;;;;;;;;;;;42218;Saint-Étienne
4.387147;45.4474490004194;node/3666891329;alcohol;Les Caves Vivaraises;;;;;;;;;;;;;;42218;Saint-Étienne
4.3886264;45.4366281004207;node/3751816745;alcohol;Nicolas;Nicolas;;;;;;;Q3340012;;;;;;42218;Saint-Étienne
4.5665316;45.4982542004131;node/3851756169;alcohol;Cave Alexandre;;;;;;;;;;;;;;42103;La Grand-Croix
4.3887989;45.44247120042;node/3939256142;alcohol;A vin pas des marches;;;;Tu-Sa 10:00-13:00, 15:00-19:30;;;;;;33 477 414 633;;;23 Rue Roger Salengro;42218;Saint-Étienne
4.3888959;45.4327256004212;node/3997775708;alcohol;Aux Fûts Percés;;;;;;;;;;;;;;42218;Saint-Étienne
4.3915723;45.4355571004208;node/4030295386;alcohol;Cave Patrick Gerbaud;;;;;;;;;http://www.cavegerbaud.com;;;;;42218;Saint-Étienne
4.373166;45.466442200417;node/4454674232;alcohol;;;;;;;;;;;;;;;42275;Saint-Priest-en-Jarez
4.2910843;45.5233451004099;node/4708702123;alcohol;Les Domaines Qui Montent;;;;;;;;;http://ldqm.fr;;;;;42097;La Fouillouse
4.3883059;45.4348481004209;node/5337289642;alcohol;Geek and Beers;;;;"Tu-Fr 11:00-13:30,15:00-19:00; Sa 10:00-19:00";;;;;;+33 4 77 90 92 63;;;12 Rue Gambetta;42218;Saint-Étienne
4.3977174;45.4401344004203;node/560938580;alcohol;La Cempote;;;;;;;;;;;;https://www.facebook.com/Lacempote.saintetienne/;;42218;Saint-Étienne
4.3913997;45.4339426004211;node/7162420641;alcohol;3 couleurs vins;;;;"We-Fr 14:00-19:00; Sa 10:00-12:00, 14:00-19:00";;;;;;;;;;42218;Saint-Étienne
4.3890235;45.4314241004213;node/7162422982;alcohol;Demain les vins;;;;"We 11:00-19:00; Th-Sa 11:00-00:30";;;;;https://www.demainlesvins.com/la-cave;33986199737;;;;42218;Saint-Étienne
4.6210733086961;45.5306619083566;way/144494463;alcohol;Jullien Frères;;;;;;;;;http://www.jullien-freres-caves.fr/;+33 4 77 75 02 07;;;17 Avenue Maréchal Juin;42186;Rive-de-Gier
4.4304313214258;45.4801402323492;way/144808530;alcohol;A vin pas des marches;;;;Tu-Sa 10:00-13:00,15:00-19:30;;;;;;33477218227;;;5 Rue Devernoille;42305;La Talaudière
4.35033194431411;45.4830232402448;way/145072033;alcohol;Saloon;;;;;;;;;;;;;;42092;L'Étrat
4.3474263;45.4156492004232;node/4827574094;animal_boarding;Les Écuries du Pialon;;;;;;;;;http://www.lesecuriesdupialon.fr;;;;;42189;Roche-la-Molière
4.5168625;45.4377678004206;node/4398166746;animal_breeding;Reining Academy;;;;;;;;;;;;https://www.facebook.com/Reining-Academy-435108539971502/;;42207;Saint-Chamond
4.3910687;45.4358384004208;node/7089611627;anime;Kamehashop;;;;;;;;;https://www.kamehashop.fr/;;;;;42218;Saint-Étienne
4.3838077;45.4411962004202;node/2682123764;antiques;Déco-Antic's;;;;;;;;;;;;;;42218;Saint-Étienne
4.3894554;45.4379627004205;node/2696262284;antiques;Antiquités Deville;;;;;;;;;http://www.antiquitesdeville.com;;;;;42218;Saint-Étienne
4.3932837;45.4324331004212;node/2873145342;antiques;Les Objets Trouvés;;;;Mo-Sa 14:00-19:00;;;;;;;;https://www.facebook.com/pages/Les-Objets-Trouvés/157841787590705?id=157841787590705;;42218;Saint-Étienne
4.393196;45.4392352004204;node/2977574295;antiques;;;;;;;;;;;;;;;42218;Saint-Étienne
4.390989;45.4387974004204;node/2979466214;antiques;Courbon Antiquités;;;;;;;;;;;;;;42218;Saint-Étienne
4.392825;45.4334946004211;node/3809720335;antiques;Atelier Couleurs du Sud;;;;;;;;;;;;;;42218;Saint-Étienne
4.3881702;45.4370892004206;node/3901874611;antiques;Stereobroke;;;;;;;;;;;;http://www.facebook.com/stereobroke.latelier;;42218;Saint-Étienne
4.3896121;45.4379790004205;node/3907979930;antiques;Gallery Kangxi;;;;;;;;;;;;;;42218;Saint-Étienne
4.3944374;45.4326341004212;node/5337218440;antiques;;;;;;;;;;;;;;;42218;Saint-Étienne
4.3928273;45.4322223004212;node/6301587589;antiques;Les 3 Brocs;;;;;;;;;;;;;;42218;Saint-Étienne
4.5043381;45.4766500004158;node/5689791486;appliance;Patrick Brosse;;;;;;;;;;;;;2 Impasse des Entrepreneurs;42207;Saint-Chamond
4.5335906;45.482843000415;node/6926373289;appliance;U Culture / Technologie;;Super U;;;;;;;;;;;;42110;L'Horme
4.5321005;45.4832834004149;node/8744996376;appliance;Au Bien-être du Petit Ménager (ABPM);;;;;;;;;;+33 4 77 22 91 70;;;40 Avenue Pasteur;42110;L'Horme
4.3889686;45.4415887004201;node/2649861605;art;L'Atelier du Coin;;;;Tu-Sa 13:00-19:00;;;;;http://latelierducoin.over-blog.net;;;;;42218;Saint-Étienne
4.3888719;45.4328584004212;node/3842732739;art;TAG;;;;;;;;;;;;;;42218;Saint-Étienne
